field_1,Agency_Code,Project,National_Station_ID,Latitude,Longitude,Deployment,Deployment_Position,Vertical_Reference,Calculated_mAHD
0,WAMSI,WWMSP5_awac,CS4,-32.2044,115.75,Fixed,0.0m below Surface,m below Surface,-11.423
1,WAMSI,WWMSP5_awac,CS5,-32.1541,115.7421,Fixed,0.0m below Surface,m below Surface,-9.8907
2,WAMSI,WWMSP5_awac,CS7,-32.24847,115.6853,Fixed,0.0m below Surface,m below Surface,-5.9504
3,DWER,CSMWQ,"6141432",-32.2745,115.7025,Profile,m below Surface,m below Surface.,0
4,DWER,CSMWQ,"6142830",-32.140024,115.762558,Profile,m below Surface,m below Surface.,-5.9675
5,DWER,CSMWQ,"6142971",-32.152366,115.720158,Integrated,Water Column,m below Surface.,-19.3144
6,DWER,CSMWQ,"6142972",-32.14648,115.756724,Profile,m below Surface,m below Surface.,-10.8501
7,DWER,CSMWQ,"6142973",-32.170703,115.762483,Profile,m below Surface,m below Surface.,-11.1732
8,DWER,CSMWQ,"6142974",-32.197565,115.719833,Profile,m below Surface,m below Surface.,-20.3222
9,DWER,CSMWQ,"6142975",-32.209851,115.759566,Profile,m below Surface,m below Surface.,-12.4997
10,DWER,CSMWQ,"6142976",-32.238934,115.751412,Profile,m below Surface,m below Surface.,-16.8257
11,DWER,CSMWQ,"6142977",-32.2565,115.740864,Profile,m below Surface,m below Surface.,-17.6492
12,DWER,CSMWQ,"6142980",-32.229518,115.697969,Profile,m below Surface,m below Surface.,-12.0351
13,DWER,CSMWQ,"6142983",-32.248232,115.712531,Profile,m below Surface,m below Surface.,-3.2126
14,DWER,CSMWQ,"6142984",-32.182803,115.73909,Profile,m below Surface,m below Surface.,-10.26
15,DWER,CSMWQ,"6142985",-32.308838,115.708785,Profile,m below Surface,m below Surface.,-2.9904
16,DWER,CSMWQ,"6142986",-32.336946,115.722167,Profile,m below Surface,m below Surface.,-17.2342
17,DWER,CSMWQ,"6142988",-32.215297,115.696612,Profile,m below Surface,m below Surface.,-7.7071
18,DWER,CSMWQ,"6142989",-32.198595,115.684831,Profile,m below Surface,m below Surface.,-6.1499
19,DWER,CSMWQ,"6144466",-32.197784,115.765882,Profile,m below Surface,m below Surface.,-10.4978
20,DWER,CSMWQ,"6147030",-32.156587,115.70274,Profile,m below Surface,m below Surface.,-22.2603
21,DWER,CSMWQ,"6147031",-32.250787,115.728332,Profile,m below Surface,m below Surface.,-19.1526
22,DWER,CSMWQ,"6147034",-32.262388,115.714189,Profile,m below Surface,m below Surface.,-18.1561
23,DWER,CSMWQ,"6147035",-32.200106,115.740665,Profile,m below Surface,m below Surface.,-16.6408
24,NASA,ghrsst,NearShorePolygon_10,-32.154998881,115.720920563,Satelite,0.0m below Surface,m below Surface,-19.325
25,NASA,ghrsst,NearShorePolygon_11,-32.219709609,115.706986189,Satelite,0.0m below Surface,m below Surface,-16.4801
26,NASA,ghrsst,NearShorePolygon_1,-32.187354523,115.69671935,Satelite,0.0m below Surface,m below Surface,-21.4297
27,NASA,ghrsst,NearShorePolygon_2,-32.163204378,115.693953201,Satelite,0.0m below Surface,m below Surface,-21.4771
28,NASA,ghrsst,NearShorePolygon_3,-32.149251627,115.749077371,Satelite,0.0m below Surface,m below Surface,-9.7901
29,NASA,ghrsst,NearShorePolygon_4,-32.247067743,115.742389148,Satelite,0.0m below Surface,m below Surface,-18.4875
30,NASA,ghrsst,NearShorePolygon_5,-32.257268478,115.715343263,Satelite,0.0m below Surface,m below Surface,-8.0053
31,NASA,ghrsst,NearShorePolygon_6,-32.199575066,115.757529172,Satelite,0.0m below Surface,m below Surface,-10.5075
32,NASA,ghrsst,NearShorePolygon_7,-32.174038269,115.753258895,Satelite,0.0m below Surface,m below Surface,-9.6307
33,NASA,ghrsst,NearShorePolygon_8,-32.211613242,115.734096238,Satelite,0.0m below Surface,m below Surface,-18.7723
34,NASA,ghrsst,NearShorePolygon_9,-32.180335634,115.724356568,Satelite,0.0m below Surface,m below Surface,-19.189
