Site,Deployment,ElevRef,Latitude,Longitude
"6142830",Integrated,-5.9675,-32.140024,115.762558
"6142972",Integrated,-10.8501,-32.14648,115.756724
"6142971",Integrated,-19.3144,-32.152366,115.720158
"6147030",Integrated,-22.2603,-32.156587,115.70274
"6142973",Integrated,-11.1732,-32.170703,115.762483
"6142984",Integrated,-10.26,-32.182803,115.73909
"6142974",Integrated,-20.3222,-32.197565,115.719833
"6144466",Integrated,-10.4978,-32.197784,115.765882
"6142989",Integrated,-6.1499,-32.198595,115.684831
"6147035",Integrated,-16.6408,-32.200106,115.740665
"6142975",Integrated,-12.4997,-32.209851,115.759566
"6142988",Integrated,-7.7071,-32.215297,115.696612
"6142980",Integrated,-12.0351,-32.229518,115.697969
"6142976",Integrated,-16.8257,-32.238934,115.751412
"6142983",Integrated,-3.2126,-32.248232,115.712531
"6147031",Integrated,-19.1526,-32.250787,115.728332
"6142977",Integrated,-17.6492,-32.2565,115.740864
"6147034",Integrated,-18.1561,-32.262388,115.714189
"6141432",Integrated,0,-32.2745,115.7025
"6142985",Integrated,-2.9904,-32.308838,115.708785
"6142986",Integrated,-17.2342,-32.336946,115.722167
